time,status,ear,closed_frames
1777393618.6567435,ALERT,0.2741348474688345,0
1777393618.699125,ALERT,0.14232070945217487,1
1777393618.743554,ALERT,0.1703732806490022,0
1777393618.7931414,ALERT,0.1292481437969541,1
1777393618.8373234,ALERT,0.2707748291630888,0
1777393618.8850777,ALERT,0.128624735234865,1
1777393618.929756,ALERT,0.15855828674232514,0
1777393618.9771514,ALERT,0.21459578287592257,0
1777393619.024676,ALERT,0.16843344450604308,0
1777393619.0757773,ALERT,0.2103358292557843,0
1777393619.1235425,ALERT,0.15307514984932966,0
1777393619.175309,ALERT,0.26362559444520106,0
1777393619.2172592,ALERT,0.2512930010757043,0
1777393619.2617464,ALERT,0.1962951242441838,0
1777393619.3108325,ALERT,0.16836211194960854,0
1777393619.3615708,ALERT,0.2834083726959762,0
1777393619.4273045,ALERT,0.19716335453867884,0
1777393619.481546,ALERT,0.22847252525952794,0
1777393619.543369,ALERT,0.1853719408881958,0
1777393619.5840015,ALERT,0.12768488019290694,1
1777393619.637684,ALERT,0.20291670521689625,0
1777393619.6841938,ALERT,0.17779321001696408,0
1777393619.7331917,ALERT,0.1386879746245532,1
1777393619.7867746,ALERT,0.2508838895144575,0
1777393619.8408656,ALERT,0.2545021903444883,0
1777393619.887405,ALERT,0.104592996738862,1
1777393619.9353917,ALERT,0.23144705035632276,0
1777393619.9797888,ALERT,0.21380827113533327,0
1777393620.021708,ALERT,0.17570756409263022,0
1777393620.0754764,ALERT,0.18892960115056462,0
1777393620.1287289,ALERT,0.10255868039798305,1
1777393620.1826324,ALERT,0.22379256067517322,0
1777393620.2292125,ALERT,0.11758979887400943,1
1777393620.2753308,ALERT,0.16534772009198925,0
1777393620.3235059,ALERT,0.11646437385794642,1
1777393620.3725612,ALERT,0.2784125971428826,0
1777393620.4207027,ALERT,0.22105068745934092,0
1777393620.4655507,ALERT,0.2986859023559296,0
1777393620.5116723,ALERT,0.21192855766605065,0
1777393620.5606825,ALERT,0.14172794536583921,1
1777393620.6072547,ALERT,0.1407138361633329,2
1777393620.6568482,ALERT,0.25982102744549973,0
1777393620.7007113,ALERT,0.2154267635074507,0
1777393620.7495658,ALERT,0.2148651899376548,0
1777393620.7939754,ALERT,0.13057136010976034,1
1777393620.8394015,ALERT,0.20173842539766196,0
1777393620.8866267,ALERT,0.19355468640042028,0
1777393620.932881,ALERT,0.23413182442915512,0
1777393620.9802084,ALERT,0.2697673112154346,0
1777393621.0272057,ALERT,0.23452522906132692,0
1777393621.075594,ALERT,0.19796081688037515,0
1777393621.124668,ALERT,0.18342647790424776,0
1777393621.17171,ALERT,0.2413798465569865,0
1777393621.2164261,ALERT,0.1260711921047245,1
1777393621.2645187,ALERT,0.11289951669833789,2
1777393621.3082066,ALERT,0.11320361370469825,3
1777393621.3580859,ALERT,0.18082712921962663,0
1777393621.401695,ALERT,0.11017074491791368,1
1777393621.4415317,ALERT,0.1657393697847458,0
1777393621.4978867,ALERT,0.19225765759740931,0
1777393621.5438888,ALERT,0.1439413765537278,1
1777393621.5903916,ALERT,0.23360779273055907,0
1777393621.6372528,ALERT,0.1924874661078213,0
1777393621.6784172,ALERT,0.19619751427077903,0
1777393621.7210383,ALERT,0.1619769542058012,0
1777393621.7653089,ALERT,0.1269948004565793,1
1777393621.812463,ALERT,0.13607901621455834,2
1777393621.8572097,ALERT,0.18497837107972764,0
1777393621.901079,ALERT,0.2915386788520836,0
1777393621.9466162,ALERT,0.2166369088513986,0
1777393621.9926422,ALERT,0.1898865070767532,0
1777393622.0312657,ALERT,0.25795928487016806,0
1777393622.0883076,ALERT,0.2735616907198193,0
1777393622.1360137,ALERT,0.11966441527426278,1
1777393622.182048,ALERT,0.16807556079071184,0
1777393622.2312322,ALERT,0.21212680047973925,0
1777393622.2780383,ALERT,0.24459883316493328,0
1777393622.3982522,ALERT,0.15475995741312396,0
1777393622.438324,ALERT,0.20810853245096173,0
1777393622.4955947,ALERT,0.23176000350929385,0
1777393622.5366533,ALERT,0.19466790382247362,0
1777393622.5846753,ALERT,0.19147250218072054,0
1777393622.6321433,ALERT,0.19900775966329592,0
1777393622.6784215,ALERT,0.14504464676983372,1
1777393622.7267065,ALERT,0.23935019602531551,0
1777393622.773618,ALERT,0.2725611801307886,0
1777393622.8197773,ALERT,0.28232888450341964,0
1777393622.8626137,ALERT,0.11738110660407047,1
1777393622.9123971,ALERT,0.2596724283972451,0
1777393622.9593215,ALERT,0.1846079053115642,0
1777393623.0001943,ALERT,0.19397149905985522,0
1777393623.0535939,ALERT,0.16356867554018228,0
1777393623.0979824,ALERT,0.13260321082503396,1
1777393623.147687,ALERT,0.2744512511622277,0
1777393623.1879973,ALERT,0.15684792754563304,0
1777393623.2428465,ALERT,0.23267384943897043,0
1777393623.2844007,ALERT,0.29546731083907807,0
1777393623.3332748,ALERT,0.24217791681029854,0
1777393623.3808475,ALERT,0.15288534650697755,0
1777393623.422519,ALERT,0.13799267461370535,1
1777393623.474468,ALERT,0.19476503848600546,0
1777393623.5135214,ALERT,0.19549925047938455,0
1777393623.5538065,ALERT,0.1540303826495679,0
1777393623.597938,ALERT,0.17836785404729974,0
1777393623.6485817,ALERT,0.12137635473538398,1
